order_id,order_date,customer_id,customer_city,product_id,quantity,unit_price
1001,2025-08-01,C001,New York,P-001,2,19.99
1002,2025-08-02,C002,Boston,P-002,1,49.50
1003,2025-08-03,C003,Chicago,P-003,3,15.00
1004,2025-08-04,C004,Seattle,P-001,5,19.99
1005,2025-08-05,C005,San Francisco,P-004,2,120.00
1006,2025-08-06,C006,Austin,P-007,4,35.00
1007,2025-08-07,C002,Boston,P-011,2,89.50
1008,2025-08-08,C001,New York,P-019,1,249.00
1009,2025-08-09,C007,Miami,P-002,4,49.50
1010,2025-08-10,C008,Denver,P-004,3,120.00
